Initial Database,Accounr Number,Name,Internal,$,Ammount,Units
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
  214430316 MQ MAC EQ ASIA 2  Internal $96.96 CR ,214430316,MQ MAC EQ ASIA 2,Internal,$,96.96,CR
"  216335778 MFPML ATF RGV SOPH INV TRUST  Internal $25,931.81 DR ",216335778,MFPML ATF RGV SOPH INV TRUST,Internal,$,"25,931.81",DR
" 221114481 MDAF - TXN A/C  Internal $47,366.62 CR ",221114481,MDAF - TXN A/C,Internal,$,"47,366.62",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
 214177453 FORESTRY 2008 - LAND S1017E  Internal $0.00 CR ,214177453,FORESTRY 2008 - LAND S1017E,Internal,$,0.00,CR
"  214422560 TXN - CIR MAR 08  Internal $3,000.00 CR ",214422560,TXN - CIR MAR 08,Internal,$,"3,000.00",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"200684165 MQPML ATF MQ SPECIAL EVENTS FD  Internal $10,065.49 CR ",200684165,MQPML ATF MQ SPECIAL EVENTS FD,Internal,$,"10,065.49",CR
  201853058 MBL-MGI REPS TXN A/C  Internal $0.00 CR ,201853058,MBL-MGI REPS TXN A/C,Internal,$,0.00,CR
"  202352225 NINE 2002 - TRUST A/C  Internal $117,927.20 CR ",202352225,NINE 2002 - TRUST A/C,Internal,$,"1,17,927.20",CR
"  202649638 TXN - RFX NOV 06  Internal $1,558.09 CR ",202649638,TXN - RFX NOV 06,Internal,$,"1,558.09",CR
"  206423089 ALMONDS 2007 - TXN A/C  Internal $6,940.06 CR ",206423089,ALMONDS 2007 - TXN A/C,Internal,$,"6,940.06",CR
  208743393 MAC EQUINOX - TRUST ACCOUNT  Internal $88.00 CR ,208743393,MAC EQUINOX - TRUST ACCOUNT,Internal,$,88.00,CR
"  211924246 TIMBER LAND TRUST 2007  Internal $43,617.12 CR ",211924246,TIMBER LAND TRUST 2007,Internal,$,"43,617.12",CR
  212169635 NINE 2003 - TXN A/C  Internal $0.00 CR ,212169635,NINE 2003 - TXN A/C,Internal,$,0.00,CR
"  213477359 TRUST - RFX COMMODITY  Internal $565,936.93 CR ",213477359,TRUST - RFX COMMODITY,Internal,$,"5,65,936.93",CR
